ID,Nombre,X,Y,Carga,Diametro,Instalacion,Ubicacion,SensorMaterial,SensorUbicacion,FuenteTipo1,FuenteNombre1,FuenteUbicacion1,FuenteTipo2,FuenteNombre2,FuenteUbicacion2
44,TEZONTLE,-99.0606694444,19.3816111111,0.3,48,2017,Av. Canal de San Juan y Canal de Tezontle Colonia Leyes de Reforma Alcaldía Iztapalapa C.P. 09310,Concreto,Lomo del tubo,Tanque,Tanque Santa Lucía,Av. Tiziano y Rosa Negra Colonia Alfalfar Alcaldía Álvaro Obregón C.P. 01470,Tanque,Tanque Dolores,Av. Anillo Periférico Blvd. Adolfo L Mateos por Circuito de las Fuentes Colonia 2a Sec. del Bosque de Chapultepec Alcaldía Miguel Hidalgo C.P. 11000
45,LORETO,-99.0330305556,19.368475,0.29,48,2017,Av. Fuerte de Loreto y Fernando Garcilazo Colonia Cooperativa Biatlón Alcaldía Iztapalapa C.P. 09230,Concreto,Lomo del tubo,Tanque,Tanque Santa Lucía,Av. Tiziano y Rosa Negra Colonia Alfalfar Alcaldía Álvaro Obregón C.P. 01470,Tanque,Tanque Dolores,Av. Anillo Periférico Blvd. Adolfo L Mateos por Circuito de las Fuentes Colonia 2a Sec. del Bosque de Chapultepec Alcaldía Miguel Hidalgo C.P. 11000
46,AÑO DE JUAREZ,-99.1093361111,19.3567916667,0.3,48,2017,Av. Año de Juárez y Calz. Ermita Iztapalapa Colonia Granjas San Antonio Alcaldía Iztapalapa C.P. 09070,Concreto,Eje del tubo,Tanque,Tanque Cerro de la Estrella,Avenida Cinco de Mayo y Tezozómoc Colonia Pueblo Los Reyes Alcaldía Iztapalapa C.P. 09849,,,
47,ERMITA,-99.0478638889,19.3425555556,0.331,48,2017,Calz. Ermita Iztapalapa y Calle 71 Colonia Santa Cruz Meyehualco Alcaldía Iztapalapa C.P. 09200,Concreto,Lomo del tubo,Tanque,Tanque Cerro de la Estrella,Avenida Cinco de Mayo y Tezozómoc Colonia Pueblo Los Reyes Alcaldía Iztapalapa C.P. 09849,,,
48,MICHOACAN,-99.0782222222,19.3667,0.31,36,2017,Av. Michoacán y Agustín Melgar Colonia Guadalupe del Moral Alcaldía Iztapalapa C.P.  09300,Concreto,Eje del tubo,Tanque,Tanque Cerro de la Estrella,Avenida Cinco de Mayo y Tezozómoc Colonia Pueblo Los Reyes Alcaldía Iztapalapa C.P. 09849,,,
49,LAS TORRES,-99.0765861111,19.3083666667,0.333,48,2017,Av.  Las Torres y Ávila Camacho Colonia José López Portillo Alcaldía Iztapalapa C.P.  09920,Acero,Lomo del tubo,Tanque,Tanque Cerro de la Estrella,Avenida Cinco de Mayo y Tezozómoc Colonia Pueblo Los Reyes Alcaldía Iztapalapa C.P. 09849,,,
50,REP. FEDERAL,-99.0171222222,19.3705638889,0.215,48,2017,Av. República Federal Norte y Luis García Colonia Ejidos de Sta. Martha Acatitla Sur Alcaldía Iztapalapa C.P.  09510,Concreto,Lomo del tubo,Tanque,Tanque Cerro de la Estrella,Avenida Cinco de Mayo y Tezozómoc Colonia Pueblo Los Reyes Alcaldía Iztapalapa C.P. 09849,,,
51,TLAHUAC,-99.002375,19.2713194444,0.27,12,2017,Av. Fco. Javier Mina y Aquiles Serdán Colonia San Mateo Alcaldía Tláhuac C.P. 13040,Acero,Lomo del tubo,Pozo,Pozos Tecómitl,Sin descripción,,,
52,XOCHIMILCO,-99.1028527778,19.2652472222,0.221,20,2017,Av. Miguel Hidalgo. y Josefa Ortiz de D. Colonia Barrio de la Guadalupita Alcaldía Xochimilco C.P. 16070,Acero,Lomo del tubo,Pozo,Pozos San Luis,Sin descripción,,,
53,ACOXPA,-99.1253583333,19.2927388889,0.28,12,2017,Av. Acoxpa y Eje 2 Oriente Colonia Coapa Narciso Mendoza Alcaldía Tlalpan C.P.  14390,s/d,s/d,Pozo,Pozos Tulyehualco,Sin descripción,,,
54,PADIERNA,-99.227825,19.2888166667,0.25,10,2017,Av. Sacalum y esquina con Tizimin Colonia Lomas de Padierna Alcaldía Tlalpan C.P.  14240,Fierro Fundido,Lomo del tubo,Tanque,Trifurcación Providencia,Calle del Rincón s/n Colonia San Nicolás Totolapan Alcaldía Magdalena Contreras C.P. 10900,,,
55,CIA - 8 B,-98.9863583333,19.3499916667,0.282,12,2017,Calle Benito Juárez esquina Simón Bolívar Colonia San Miguel Teotongo Alcaldía Iztapalapa C.P. 09360,Acero,Sobre el piso,Tanque,Tanque La Caldera,Km 20 Autop México Puebla Colonia Emiliano Zapata Los Reyes Acaquilpan  C.P. 56490,,,
56,LOPEZ PORTILLO,-99.0533444444,19.3276694444,0.342,48,2017,Av. Benito Juárez y López Portillo Colonia Consejo Agrarista Alcaldía Iztapalapa C.P.  09760,Concreto,Lomo del tubo,Tanque,Tanque Cerro de la Estrella,Avenida Cinco de Mayo y Tezozómoc Colonia Pueblo Los Reyes Alcaldía Iztapalapa C.P. 09849,,,
57,CONSTITUCION DE 1917,-99.0608333333,19.3465777778,0.267,48,2019,Av. Ermita Iztapalapa y Periférico Colonia Constitución de 1917 Alcaldía Iztapalapa C.P. 09260,Concreto,Lomo del tubo,Tanque,Tanque Cerro de la Estrella,Avenida Cinco de Mayo y Tezozómoc Colonia Pueblo Los Reyes Alcaldía Iztapalapa C.P. 09849,,,
58,EJE 2 ORIENTE,-99.1221805556,19.3693833333,0,48,2019,Av. Rio Churubusco y Calzada la Viga Colonia El Sifón Alcaldía Iztapalapa C.P. 09400,Acero,Lomo del tubo,Tanque,Tanque Santa Lucía,Av. Tiziano y Rosa Negra Colonia Alfalfar Alcaldía Álvaro Obregón C.P. 01470,Tanque,Tanque Dolores,Av. Anillo Periférico Blvd. Adolfo L Mateos por Circuito de las Fuentes Colonia 2a Sec. del Bosque de Chapultepec Alcaldía Miguel Hidalgo C.P. 11000
59,OCTAVIO SENTIES,-99.0124555556,19.3534166667,0.415,12,2019,Calz. Ermita Iztapalapa esq. Octavio Sentíes Colonia Santa Martha Acatlita Alcaldía Iztapalapa C.P. 09609,Acero,Lomo del tubo,Tanque,Tanque La Caldera,Km 20 Autop México Puebla Colonia Emiliano Zapata Los Reyes Acaquilpan C.P.  56490,,,
60,NAUTLA,-99.0749861111,19.3337444444,0.33,48,2019,Calle Nautla esq. San Lorenzo Colonia El Rodeo Alcaldía Iztapalapa C.P. 09850,Concreto,Lomo del tubo,Tanque,Tanque Cerro de la Estrella,Avenida Cinco de Mayo y Tezozómoc Colonia Pueblo Los Reyes Alcaldía Iztapalapa C.P. 09849,,,
61,AHUEYOTL,-99.1068777778,19.3445138889,0.38,48,2019,Calle Moctezuma esq. Ahueyotl Colonia Ejido Los Reyes Culhuacán Alcaldía Iztapalapa C.P. 09480,Acero,Lomo del tubo,Planta de bombeo,Planta Xotepingo,Avenida División del Norte 3330 Colonia Ciudad Jardín Alcaldía Coyoacán C.P. 04370,,,
